FruitType,Label,Filename,WhitePixelRatio,EdgePixelRatio,Contrast,Correlation,Energy,MeanIntensity,Variance
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,0.4336859197827603,0.01584804227367803,109.95668683228214,0.9933951257505703,0.3333862801115425,0.5762806689590811,32.716788926656264
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,0.8442343732774776,0.010561128872230183,88.57921163980247,0.9927268638079676,0.3066443858210657,0.6894702358950415,23.995851806728087
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,0.3404846959486888,0.01712064626126492,105.64832163564236,0.9924550985777172,0.1968206647605249,0.5079583136331581,27.5369276005938
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,0.3639673433362754,0.01798323036187114,117.98917915226022,0.9911204900648259,0.24115330565204343,0.5705980952328904,26.15100095255012
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,0.48095914828018116,0.018920416225069854,128.7107331739477,0.9908491159245604,0.3013084786529201,0.6267882781785997,27.688286270445317
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,0.5044847895390934,0.021370292321824174,128.1380148722047,0.9922156272286486,0.3244566333358867,0.6002570569482453,32.36841510000696
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,0.5128824476650563,0.011783988957902001,105.33062377493364,0.9909520886174216,0.3170952610671448,0.6903536132649517,22.957029107360334
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,0.7021746270963753,0.023977896282556612,106.06084679137138,0.9918175751342306,0.25206678397566434,0.6675872381567203,25.520737499545664
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,0.43323188405797103,0.014478260869565218,104.22871598721797,0.9937946644177601,0.3152635197124598,0.5579877237851663,33.006952602282425
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,0.8501029751122801,0.012679586114488474,116.40579169309999,0.9902211451369416,0.34079485130870707,0.7344852776970942,23.494441807129988
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,0.40546403420523136,0.019675343729040912,107.992028232032,0.9912257447319446,0.2503442774557816,0.6027169758748571,24.232064439446354
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,0.4966833636915604,0.0222829386763813,135.1650075345906,0.9921371328540382,0.3562943933073545,0.600994321225758,33.801733256476574
