Category,Label,Filename,WhitePixelRatio,EdgePixelRatio
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,0.4336859197827603,0.01584804227367803
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,0.8442343732774776,0.010561128872230183
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,0.3404846959486888,0.01712064626126492
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,0.3639673433362754,0.01798323036187114
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,0.48095914828018116,0.018920416225069854
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,0.5044847895390934,0.021370292321824174
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,0.5128824476650563,0.011783988957902001
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,0.7021746270963753,0.023977896282556612
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,0.43323188405797103,0.014478260869565218
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,0.8501029751122801,0.012679586114488474
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,0.40546403420523136,0.019675343729040912
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,0.4966833636915604,0.0222829386763813
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,0.48421505040243806,0.016227761714985283
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.41 PM.png,0.3769344842009202,0.016312407315867524
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.24 PM.png,0.8993011934673367,0.014375261725293133
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.31 PM.png,0.4479166666666667,0.016739943400040428
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM.png,0.4852840986510424,0.014204932552118818
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.43 PM.png,0.6531632078507078,0.015273085585585586
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM.png,0.6077094046892705,0.017247014730236206
