Category,Label,Filename,WhitePixelRatio,EdgePixelRatio,Contrast,Correlation,Energy,Homogeneity
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.36 PM.png,0.4336859197827603,0.01584804227367803,109.95668683228214,0.9933951257505703,0.3333862801115425,0.6428017330680749
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.44 PM.png,0.8442343732774776,0.010561128872230183,88.57921163980247,0.9927268638079676,0.3066443858210657,0.7409764483458685
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 4.59.57 PM.png,0.3404846959486888,0.01712064626126492,105.64832163564236,0.9924550985777172,0.1968206647605249,0.622790412338665
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.03 PM.png,0.3639673433362754,0.01798323036187114,117.98917915226022,0.9911204900648259,0.24115330565204343,0.5803938619582749
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.12 PM.png,0.48095914828018116,0.018920416225069854,128.7107331739477,0.9908491159245604,0.3013084786529201,0.6158191157197633
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.18 PM.png,0.5044847895390934,0.021370292321824174,128.1380148722047,0.9922156272286486,0.3244566333358867,0.6464033637122792
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.26 PM.png,0.5128824476650563,0.011783988957902001,105.33062377493364,0.9909520886174216,0.3170952610671448,0.690301416856454
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.00.50 PM.png,0.7021746270963753,0.023977896282556612,106.06084679137138,0.9918175751342306,0.25206678397566434,0.569444685170987
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.08 PM.png,0.43323188405797103,0.014478260869565218,104.22871598721797,0.9937946644177601,0.3152635197124598,0.7288924493461566
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.15 PM.png,0.8501029751122801,0.012679586114488474,116.40579169309999,0.9902211451369416,0.34079485130870707,0.7370066975307688
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.22 PM.png,0.40546403420523136,0.019675343729040912,107.992028232032,0.9912257447319446,0.2503442774557816,0.5333736168592773
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.29 PM.png,0.4966833636915604,0.0222829386763813,135.1650075345906,0.9921371328540382,0.3562943933073545,0.6539790042006246
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.34 PM.png,0.48421505040243806,0.016227761714985283,119.15120591269374,0.9912294673345496,0.3006825486558867,0.604877402542084
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.01.41 PM.png,0.3769344842009202,0.016312407315867524,97.65573231721837,0.9935005902286598,0.24245748999070854,0.6586333448621948
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.24 PM.png,0.8993011934673367,0.014375261725293133,117.5893763858457,0.9892030675298009,0.27406125994509634,0.6447034440916236
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.31 PM.png,0.4479166666666667,0.016739943400040428,122.81888711556974,0.9923822276622812,0.3452410863396987,0.6278568179942834
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.38 PM.png,0.4852840986510424,0.014204932552118818,109.5293057054268,0.9910941555249159,0.3086923676119029,0.6628129150703489
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.43 PM.png,0.6531632078507078,0.015273085585585586,149.358393866021,0.9881169358041506,0.32395940430679404,0.7225579289675016
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.02.48 PM.png,0.6077094046892705,0.017247014730236206,153.0026892299619,0.9872129110101314,0.1847931207608494,0.6937560023166043
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.05 PM.png,0.8964566789563244,0.007196539988655701,108.2807766161724,0.9868743696118828,0.11904625842790235,0.6512217092545278
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.10 PM.png,0.8940827478532396,0.008485558157689305,116.14236399217222,0.9895276311909066,0.3422994837078468,0.7653473663548415
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.17 PM.png,0.41009938409854424,0.023138297872340424,134.6548210526316,0.9932312412725527,0.31548053301235063,0.7227374734485497
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.26 PM.png,0.8927514367816092,0.015977011494252874,126.66690201729106,0.9885224619817351,0.29263796001434217,0.6831293237948719
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.34 PM.png,0.8695464155295022,0.012838746876801845,91.72432952958738,0.9918126461613027,0.24266187418084578,0.6276898278261693
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.40 PM.png,0.8968638052644461,0.010185123378501658,100.53145246724283,0.9898368759909856,0.21833469468845182,0.623265124146237
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.03.59 PM.png,0.778240066569586,0.017098906687007375,110.3856598352584,0.9905003569895898,0.2652766115627581,0.6230609309613053
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.04.05 PM.png,0.34917030486902473,0.014577475210892407,101.57794771968857,0.9924443586247872,0.2281835264095568,0.6033777758910627
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.04.11 PM.png,0.4487971045348095,0.022869207295436803,177.61731724248415,0.9908339369945947,0.3736507707349552,0.6964100070531094
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.04.16 PM.png,0.5505616088243207,0.014426957223567393,130.33045831647104,0.990242085491481,0.38535702517234094,0.7634501407912211
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.04.24 PM.png,0.4804470221136888,0.01455026455026455,140.75226167397884,0.9926039122900526,0.38506052688758646,0.7688448592586636
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.04.31 PM.png,0.7671144644828856,0.015642252484357747,119.14029962731087,0.9901186131113925,0.347981615577973,0.7150752847192732
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.04.48 PM.png,0.6252485795454545,0.026633522727272728,243.38592857142862,0.9804888332436199,0.20401359561038465,0.4762987988960209
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.06 PM.png,0.6870486111111112,0.03319444444444444,239.26871508379895,0.980042481045254,0.21892722337200554,0.48836321910050806
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.12 PM.png,0.5739018087855298,0.032848837209302324,241.3305183837859,0.9835399810697869,0.24914249054094054,0.5083461665252926
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.18 PM.png,0.7320841759352882,0.025530839231547017,233.1965942305249,0.9813722736883931,0.2878821328410408,0.5442041679387799
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.27 PM.png,0.4122912192172154,0.01729153199741435,112.82355031193505,0.9926019851828142,0.32238292942016866,0.6023960664354209
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.34 PM.png,0.8944086944086944,0.016881166881166882,114.10685353788801,0.9893919851453775,0.3203779615682572,0.684419547119223
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.41 PM.png,0.894752534287418,0.00904392764857881,94.32323091479512,0.9905889233001242,0.2159213623655531,0.7635974757863461
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.05.48 PM.png,0.5643672733516484,0.013881138392857142,110.27608648881241,0.9907920937294961,0.3122691802550134,0.7004401363281739
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.06.10 PM.png,0.6246190959878111,0.017569197562214322,137.33572872399688,0.9892084012748151,0.38796522438212105,0.7417191689580033
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.06.19 PM.png,0.8943421052631579,0.021217105263157895,182.54337476857978,0.9830813336430444,0.23439286592575262,0.7422105104412462
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.06.33 PM.png,0.891788728897716,0.020264399205561074,165.2035732102768,0.9834000500718433,0.13512181614781557,0.7678087633404944
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.06.40 PM.png,0.380477892091416,0.01965365585486531,103.45954254795868,0.9919862605478059,0.12668933468600194,0.530148379861503
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.06.47 PM.png,0.36900176095091347,0.032953628292611344,108.75701510096414,0.9918955918331344,0.2196223255114125,0.5611970682376667
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.06.54 PM.png,0.8894642857142857,0.008107142857142858,152.25069922547334,0.9838473463638234,0.11302821950443873,0.6407088451651669
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.07.18 PM.png,0.7449113879628005,0.015331637129320933,123.21715838338501,0.9898281316004783,0.2196617481823072,0.6796879975248973
apple,fresh,rotated_by_15_Screen Shot 2018-06-08 at 5.07.26 PM.png,0.8984900717043575,0.016478212906784334,112.1408654178475,0.9900074125303171,0.27494053860114415,0.6646080489286446
